id,fields,data_element,segment,data_element_tag,data_type,type,format,length,generator,value,default_generator,default_value,description
1,passenger_last_name,Passenger Last Name,NAD,C080:3036 (1),AN,keyword,,35,name,,,,"Alphabetic, no numeric or special characters, except dash
( - ) and single quote ( ‘ )"
2,passenger_first_name,Passenger First Name,NAD,C080:3036 (2),AN,keyword,,35,name,,,,"First Initial only is allowed, however, may result in a higher occurrence of “Inhibited” responses and may result in the issuance of APIS penalties.
Alphabetic, no numeric or
special characters, except dash ( - ) and single quote ( ‘ )"
3,passenger_middle_name,Passenger Middle Name,NAD,C080:3036 (3),AN,keyword,,35,name,,,,"Alphabetic, no numeric or special characters, except dash
( - ) and single quote ( ‘ )"
4,date_of_birth,Date of birth,DTM,C507:2380,AN,date,dateOptionalTime,YYYY/MM/DD,range,2019/01/01:2019/12/01,,,"Valid month, valid day within the month, and valid year Date of Birth. Format ‘YYMMDD' where: YY - Year
MM - Month DD - Day"
5,gender,Gender,ATT,C956:9019,AN,keyword,,1,choice,"M, F",,,"M, F or any gender code included on a Government-
issued ID"
6,citizenship,Citizenship,NAT,C042:3293,AN,keyword,,3,alpha3_code,,,,Validated against the ISO country code list (ISO-3166-1)
7,country_of_residence,Country of residence,LOC,"C517:3225
(Qualifier DE 3227 = ‘174’ )",AN,keyword,,3,alpha3_code,,,,Validated against the ISO country code list (ISO-3166-1)
8,traveler_type_indicator, Traveler type indicator,NAD,3035,AN,keyword,,3,name,,,, Indicator.  Values: FL Passenger FM Crew member DDU Intransit Passenger DDT Intransit Crew Member COT   Involved Party - Gate Pass request ZZZ - For Cancel Reservation and Flight Close-out messages
9,travel_document_type,Travel document type,DOC,C002:1001,AN,keyword,,2,name,,,,"Codified value:
P - Passport
A – Alien Registration Card
C – Permanent Resident Card C1-Permanent Resident Card F – Facilitation Document (deportee or consular letter)
G – U.S. Merchant Mariner Document
IA - Employment Authorization Card  with the notations “serves as I-512 advance parole ” or “ valid for re-entry to the U.S.” (as secondary document use only)I- NEXUS
IN – NEXUS
M – U.S. Military or NATO ID (with official orders)
PR – Re-Entry Travel Document PT - DHS Refugee Travel Document and Asylee Travel Document
T – Re-Entry or Refugee Permit and Asylee Travel Document
V – U.S. non-immigrant Visa (as secondary document use only) VB – Laser Visa- Border Crossing Card (as secondary document use only)
VI-Immigrant Visa (as secondary document use only) VN-Non-Immigrant Visa (as secondary document use only)"
10,document_number,Document number,DOC,C503:1004,AN,keyword,,35,name,,,,"Alphanumeric, no special characters"
11,document_expiration_date_passport,Document expiration date - Passport,DTM,C507:2380 (C507:2005 = ‘36’),AN,date,dateOptionalTime,YYYY/MM/DD,range,2019/01/01:2019/12/01,,,"Date formatted as ' YYMMDD' where:
YY - Year MM - Month DD – Day"
12,document_country_of_issuance,Document country of issuance,LOC,"C517:3225
(qualifier 3227
= ‘91’)",AN,keyword,,3,alpha3_code,,,,Validated against the ISO country code list (ISO 3166-1)
13,street_address_1,Address while in the United States,NAD,C059:3042(1),AN,keyword,,35,address,,,,Street Address (1)
14,street_address_2,Address while in the United States,NAD,C059:3042(1),AN,keyword,,35,address,,,,Street Address (2)
